,用户姓名,评分情况,个人主页,已经看过的电影,想看的电影,注册日期
73,水军没人权,1.0,https://www.douban.com/people/161755451,['35部'],['1部'],2017-05-24
74,Qtools,3.0,https://www.douban.com/people/162741035,['3部'],['4部'],2017-06-19
75,若树,5.0,https://www.douban.com/people/63688775,['5部'],['1部'],2012-08-07
76,少女哪吒,3.0,https://www.douban.com/people/33961343,['267部'],['19部'],2010-01-27
77,麦ing麦,1.0,https://www.douban.com/people/148387562,['1164部'],['22部'],2016-07-16
78,2017要顺顺的,3.0,https://www.douban.com/people/62570068,['11部'],['1部'],2012-06-25
79,一只虫__,5.0,https://www.douban.com/people/82930293,['1部'],[],2014-01-30
80,鹿迩,3.0,https://www.douban.com/people/141348297,['2部'],['2部'],2016-01-31
81,爱晴柔,4.0,https://www.douban.com/people/161262488,['1部'],[],2017-05-10
82,moraynia,3.0,https://www.douban.com/people/141798208,['307部'],['1部'],2016-02-11
83,妖言惑众,1.0,https://www.douban.com/people/161813333,['2部'],[],2017-05-26
84,无忌恩来,1.0,https://www.douban.com/people/wxypuritan,['3部'],[],2013-02-15
85,斑斑点点,1.0,https://www.douban.com/people/153950189,['1部'],['2部'],2016-11-17
86,花天使爱美丽,1.0,https://www.douban.com/people/sucaide,['7部'],[],2016-10-25
87,wizhiGao,1.0,https://www.douban.com/people/162625355,['1部'],[],2017-06-16
88,英雄归来~,5.0,https://www.douban.com/people/162341565,['5部'],['3部'],2017-06-09
89,Iam榶剱,1.0,https://www.douban.com/people/141160693,['3部'],[],2016-01-27
90,特特特特雷西Mac,,https://www.douban.com/people/130564040,['1部'],[],2015-07-01
91,风南,1.0,https://www.douban.com/people/60481081,['39部'],['1部'],2012-04-17
92,fleddy,1.0,https://www.douban.com/people/chengzhuo920703,['379部'],['38部'],2010-07-31
93,小七,1.0,https://www.douban.com/people/162198140,['1部'],[],2017-06-05
94,Twist,3.0,https://www.douban.com/people/38632566,['209部'],['1部'],2010-04-08
95,自冉而冉,1.0,https://www.douban.com/people/96237677,['182部'],[],2014-08-07
96,无聊,3.0,https://www.douban.com/people/150948299,['1072部'],['32部'],2016-09-09
97,天冰晗,4.0,https://www.douban.com/people/skyicedawn,['3部'],[],2010-12-10
98,阿May,,https://www.douban.com/people/52373642,['67部'],['1部'],2011-06-15
99,组织上帝,1.0,https://www.douban.com/people/cyexuan,['28部'],['2部'],2012-11-15
100,_随留随踪,,https://www.douban.com/people/64682536,['1部'],['32部'],2012-09-15
101,蜜三刀,,https://www.douban.com/people/2538688,['626部'],['42部'],2008-05-31
102,xslidian,1.0,https://www.douban.com/people/xslidian,['2部'],['29部'],2008-03-30
103,kaiser,3.0,https://www.douban.com/people/131254591,['513部'],['2部'],2015-07-13
104,专注是一种责任,3.0,https://www.douban.com/people/153033646,['5部'],[],2016-10-26
105,羊驼君的大眼睛,1.0,https://www.douban.com/people/49154372,['1部'],['538部'],2011-02-01
106,梵白666,3.0,https://www.douban.com/people/141737354,['2部'],[],2016-02-10
107,刘爱国,5.0,https://www.douban.com/people/157668944,['2部'],[],2017-02-11
108,明天晴天,1.0,https://www.douban.com/people/135155962,['58部'],['5部'],2015-09-27
109,不想说多少,1.0,https://www.douban.com/people/121561889,['9部'],['3部'],2015-02-15
110,X,1.0,https://www.douban.com/people/158679347,['630部'],['29部'],2017-03-05
111,lynx狂热,1.0,https://www.douban.com/people/125881304,['567部'],['43部'],2015-04-20
112,七粒唐,1.0,https://www.douban.com/people/154886861,['2部'],[],2016-12-10
113,天使爱美丽,1.0,https://www.douban.com/people/161905225,['2部'],[],2017-05-29
114,看过,1.0,https://www.douban.com/people/145108109,['2部'],[],2016-04-27
115,Bonnie秋莹,3.0,https://www.douban.com/people/4163899,['321部'],[],2009-05-11
116,黑色的地,3.0,https://www.douban.com/people/59820007,['141部'],['35部'],2012-03-26
117,iceafterwater,1.0,https://www.douban.com/people/155659131,['6部'],['1部'],2016-12-28
118,毓堇ww,5.0,https://www.douban.com/people/62277715,['156部'],['59部'],2012-06-14
119,Alex,1.0,https://www.douban.com/people/69001242,['4部'],[],2013-02-11
120,看过,1.0,https://www.douban.com/people/155659123,['10部'],[],2016-12-28
121,vvshare,1.0,https://www.douban.com/people/40535322,['106部'],['2部'],2010-05-12
122,去远方寻你,1.0,https://www.douban.com/people/150806470,['290部'],['2部'],2016-09-06
123,我说,1.0,https://www.douban.com/people/chong27momo,['12部'],['11部'],2015-09-04
124,打围,1.0,https://www.douban.com/people/162415660,['4部'],[],2017-06-11
125,看过,1.0,https://www.douban.com/people/139910325,['6部'],[],2016-01-02
126,萌到没眉毛,3.0,https://www.douban.com/people/154572922,['35部'],[],2016-12-03
127,灰灰,3.0,https://www.douban.com/people/127591096,['309部'],['7部'],2015-05-14
128,我lu不会飞,3.0,https://www.douban.com/people/157224553,['722部'],['1部'],2017-02-02
129,Zero先生不喝酒,1.0,https://www.douban.com/people/161990225,['1部'],[],2017-05-31
